@RELATION TodosNos

@ATTRIBUTE  abort	NUMERIC
@ATTRIBUTE  blur	NUMERIC
@ATTRIBUTE  change	NUMERIC
@ATTRIBUTE  click	NUMERIC
@ATTRIBUTE  dblclick	NUMERIC
@ATTRIBUTE  dragdrop	NUMERIC
@ATTRIBUTE  error	NUMERIC
@ATTRIBUTE  focus	NUMERIC
@ATTRIBUTE  keydown	NUMERIC
@ATTRIBUTE  keypress	NUMERIC
@ATTRIBUTE  keyup	NUMERIC
@ATTRIBUTE  load	NUMERIC
@ATTRIBUTE  mousedown	NUMERIC
@ATTRIBUTE  mousemove	NUMERIC
@ATTRIBUTE  mouseout	NUMERIC
@ATTRIBUTE  mouseover	NUMERIC
@ATTRIBUTE  mouseup	NUMERIC
@ATTRIBUTE  move	NUMERIC
@ATTRIBUTE  reset	NUMERIC
@ATTRIBUTE  resize	NUMERIC
@ATTRIBUTE  select	NUMERIC
@ATTRIBUTE  submit	NUMERIC
@ATTRIBUTE  unload  NUMERIC
@ATTRIBUTE  CLASS {NONAT,YESAT}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,NONAT
0,2,0,0,0,0,0,0,0,0,0,0,0,76,36,42,0,0,0,0,0,0,0,NONAT
0,31,0,2,0,0,0,40,18,10,14,2,2,192,50,55,2,0,0,0,0,0,0,NONAT
0,1,0,2,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,2,0,0,0,NONAT
0,5,0,5,0,0,0,2,65,43,58,0,7,0,0,0,8,0,0,17,0,0,0,NONAT
0,3,0,1,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,6,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,8,0,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,3,0,56,14,22,0,0,0,0,0,0,0,NONAT
0,1,0,0,0,0,0,0,0,0,0,0,2,63,7,9,0,0,0,0,0,0,0,NONAT
0,1,0,0,0,0,0,0,3,2,1,0,2,0,0,0,1,0,0,0,0,0,0,NONAT
0,1,0,6,0,0,0,0,13,10,10,0,12,0,0,0,6,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NONAT
0,3,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,3,1,35,12,11,0,0,0,0,0,1,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONAT
0,3,0,0,0,0,0,3,9,1,6,0,0,18,1,1,0,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,NONAT
0,0,0,5,0,0,0,3,0,0,0,3,9,76,3,7,9,0,0,0,0,0,0,NONAT
0,5,0,2,0,0,0,4,3,1,3,0,2,0,0,0,2,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,NONAT
0,3,0,1,0,0,0,2,3,0,3,0,2,0,0,0,1,0,0,5,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,6,0,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,6,5,5,0,1,0,0,0,1,0,0,0,0,0,0,NONAT
0,5,0,0,0,0,0,3,0,0,0,0,0,66,12,14,0,0,0,0,0,0,0,NONAT
0,16,0,4,0,0,0,5,4,0,3,0,19,0,0,0,6,0,0,34,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,70,29,30,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,5,6,6,0,1,0,0,0,1,0,0,3,0,0,0,NONAT
0,0,0,0,0,0,0,9,0,0,0,7,0,4,1,3,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,3,2,9,4,5,0,51,6,8,0,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,17,8,15,0,2,0,0,0,1,0,0,5,0,0,0,NONAT
0,2,0,5,0,0,0,1,27,22,24,0,5,0,0,0,5,0,0,0,0,0,0,NONAT
0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,4,4,3,0,0,90,14,18,0,0,0,0,0,0,0,NONAT
0,3,0,1,0,0,0,2,0,0,0,1,4,0,0,0,3,0,0,1,0,0,0,NONAT
0,1,0,3,0,0,0,0,14,5,6,0,3,0,0,0,3,0,0,3,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,0,0,0,0,0,0,0,NONAT
0,2,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,2,0,91,8,15,0,0,0,0,0,0,0,NONAT
0,3,0,1,1,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,NONAT
0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONAT
0,3,0,0,0,0,0,0,0,0,0,0,0,51,4,8,0,0,0,0,0,0,0,NONAT
0,9,0,5,0,0,0,9,4,0,0,1,0,0,0,0,6,0,0,3,0,0,0,NONAT
0,1,0,4,0,0,0,0,12,7,10,0,4,0,0,0,4,0,0,0,0,0,0,NONAT
0,9,0,2,0,0,0,9,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,NONAT
0,10,0,7,0,0,0,11,12,0,2,1,0,0,0,0,7,0,0,1,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NONAT
0,1,0,3,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,NONAT
0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,4,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,5,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,3,0,13,10,12,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,1,1,8,11,9,0,2,124,31,51,3,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,NONAT
0,1,0,1,0,0,0,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,6,4,6,0,1,0,0,0,1,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,NONAT
0,2,0,2,0,0,0,1,6,0,2,0,4,0,0,0,2,0,0,3,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,1,30,31,35,0,2,0,0,0,0,0,0,0,0,0,0,NONAT
0,4,0,6,0,0,0,2,6,3,7,0,26,0,0,0,6,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,19,0,0,0,0,0,0,0,NONAT
0,0,2,0,0,0,0,0,1,1,3,0,0,365,66,111,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,9,13,9,0,2,70,10,18,0,0,0,0,0,0,0,NONAT
0,7,0,0,0,0,0,15,0,0,0,0,0,32,5,10,0,0,0,0,0,0,0,NONAT
0,9,0,5,0,0,0,8,0,0,0,1,6,0,0,0,5,0,0,2,0,0,0,NONAT
0,5,0,1,0,0,0,7,11,7,10,0,38,0,0,0,1,0,0,3,0,0,0,NONAT
0,0,0,0,0,0,0,3,12,8,11,0,0,16,10,11,0,0,0,0,0,0,0,NONAT
0,30,0,9,0,0,0,26,171,19,88,1,25,0,0,0,13,0,0,2,0,0,0,NONAT
0,4,0,5,0,0,0,0,6,2,4,0,5,0,0,0,5,0,0,14,0,0,0,NONAT
0,4,0,0,0,0,0,0,0,0,0,0,0,173,36,51,0,0,0,0,0,0,0,NONAT
0,3,0,3,0,0,0,0,94,3,56,0,3,0,0,0,3,0,0,3,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,16,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,129,59,65,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONAT
0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,4,0,0,0,0,0,0,0,NONAT
0,1,0,3,0,0,0,2,0,0,0,15,0,10,3,3,0,0,0,0,0,3,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,NONAT
0,6,0,0,0,0,0,6,14,13,14,0,0,0,0,0,0,0,0,0,0,0,0,NONAT
0,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,NONAT
0,21,0,49,4,0,0,11,74,58,66,0,53,0,2,3,55,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,NONAT
0,3,0,4,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,7,0,0,0,NONAT
0,1,0,4,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,1,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NONAT
0,2,0,2,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,9,0,0,0,NONAT
0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,NONAT
0,3,0,3,0,0,0,0,7,7,5,0,2,0,0,0,2,0,0,2,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,NONAT
0,25,0,0,0,0,0,24,47,40,38,0,0,138,45,55,0,0,0,0,0,1,0,YESAT
